Name	Footprint	Manufacturer Part	Manufacturer	Supplier	Supplier Part	Quantity
0Ω	R0603	0603WAF0000T5E	UNI-ROYAL(厚声)	LCSC	C21189	6
1.8kΩ	R0603	0603WAF1801T5E	UNI-ROYAL(厚声)	LCSC	C4177	1
100k	0603	0603WAF1003T5E	UNI-ROYAL(厚声)	LCSC	C25803	14
100n	C_0603	CC0603KRX7R9BB104	YAGEO	LCSC	C14663	23
100pF	C0603	CL10C101JB8NNNC	SAMSUNG(三星)	LCSC	C14858	8
10kΩ	R0603	0603WAF1002T5E	UNI-ROYAL(厚声)	LCSC	C25804	21
10pF	C0603	0603CG100J500NT	FH(风华)	LCSC	C91367	4
10uF	CASE-A_3216	CA45-A010K106T	湘怡中元/湘江	LCSC	C119052	2
10uH	IND-SMD_L2.5-W2.0	FTC252012S100MBCA	cjiang(长江微电)	LCSC	C5832376	1
18kΩ	R0603	0603WAF1802T5E	UNI-ROYAL(厚声)	LCSC	C25810	1
1MΩ	R0603	0603WAF1004T5E	UNI-ROYAL(厚声)	LCSC	C22935	1
1kΩ	R0603	0603WAF1001T5E	UNI-ROYAL(厚声)	LCSC	C21190	12
1uF	C0603	CL10A105KO8NNNC	SAMSUNG(三星)	LCSC	C1592	28
2.2nF	C0603	CC0603JRNPO9BN222	YAGEO(国巨)	LCSC	C107043	1
220nF	C0603	CL10B224KA8NNNC	SAMSUNG(三星)	LCSC	C21120	1
2MΩ	R0603	0603WAF2004T5E	UNI-ROYAL(厚声)	LCSC	C22976	1
2kΩ	R0603	0603WAF2001T5E	UNI-ROYAL(厚声)	LCSC	C22975	11
2kΩ	RES-ADJ-SMD_3P-L3.8-W3.6_TC33X-2-502E	TC33X-2-202E	BOURNS	LCSC	C720647	2
2kΩ	RES-ADJ-TH_3P-L10.0-W10.0-P2.50-BL-BS	3296W-1-202	BOCHEN(博晨)	LCSC	C118206	1
3.3uF	C0603	C1608X5R1E335KT000E	TDK	LCSC	C342962	1
330kΩ	R0603	0603WAF3303T5E	UNI-ROYAL(厚声)	LCSC	C23137	4
3kΩ	R0603	0603WAF3001T5E	UNI-ROYAL(厚声)	LCSC	C4211	2
4.7kΩ	R0603	RC0603FR-074K7L	YAGEO(国巨)	LCSC	C99782	1
500kΩ	RES-ADJ-TH_3P-L9.5-W4.85-P2.50-BL-BS	3296W-1-504	BOCHEN(博晨)	LCSC	C118921	1
71.5kΩ	R0603	0603WAF7152T5E	UNI-ROYAL(厚声)	LCSC	C23103	1
8.192MHz	CRYSTAL-SMD_4P-L3.2-W2.5-BL	7B008192I01	HD(浩都频率)	LCSC	C648988	2
AD7771BCPZ-RL	LFCSP-64_L9.0-W9.0-P0.50-BL-EP7.5	AD7771BCPZ-RL	ADI(亚德诺)	LCSC	C651536	1
ADS131M08IPBSR	TQFP-32_L5.0-W5.0-P0.50-LS7.0-TL	ADS131M08IPBSR	TI(德州仪器)	LCSC	C2685451	1
GREEN	LED0603-RD_GREEN	XL-1608UGC-04	XINGLIGHT(成兴光)	LCSC	C965804	2
HDR-IDC-2.54-2X10P	EDGECONNECTOR_10X2X2.54	2.54-2*6P简牛	BOOMELE(博穆精密)	LCSC	C9136	1
HDR-IDC-2.54-2X10P	EDGECONNECTOR_10X2X2.54	IDC Box 2.54mm 2X10P　Straight	BOOMELE	LCSC	C3405	2
LM324PWRG4	TSSOP-14_L5.0-W4.4-P0.65-LS6.4-BL	LM324PWRG4	TI(德州仪器)	LCSC	C7942	2
LP5907MFX-3.3/NOPB	SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR	LP5907MFX-3.3/NOPB	TI(德州仪器)	LCSC	C80670	2
MCP4728-E/UN	MSOP-10_L3.0-W3.0-P0.50-LS5.0-TL	MCP4728-E/UN	MICROCHIP(美国微芯)	LCSC	C108207	1
MCP6V31UT-E/OT	SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR	MCP6V31UT-E/LT	MICROCHIP(美国微芯)	LCSC	C623528	1
ME6211C33M5G-N	SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL	ME6211C33M5G-N	MICRONE(南京微盟)	LCSC	C82942	3
MINI MSK12CO2	SW-SMD_MSK12CO2	MINI MSK12CO2	SHOU HAN(首韩)	LCSC	C2681570	3
RED	LED0603-RD_RED	XL-1608SURC-06	XINGLIGHT(成兴光)	LCSC	C965799	2
RY2201	SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL	RY2206	RYCHiP(蕊源)	LCSC	C2935408	2
SM02B-GHS-TB(LF)(SN)	CONN-SMD_SM02B-GHS-TB-LF-SN	SM02B-GHS-TB(LF)(SN)	JST	LCSC	C189893	3
TF-123-ARP9H17	TF-SMD_TF-123-ARP9H15	TF-123-ARP9H17	XUNPU(讯普)	LCSC	C2982548	2
TLV61046ADBVR	SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL	TLV61046ADBVR	TI(德州仪器)	LCSC	C464815	1
TP4056_C725790	ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP	TP4056	UMW(友台半导体)	LCSC	C725790	2
XL-1615RGBC-WS2812B	LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B	XL-1615RGBC-WS2812B	XINGLIGHT(成兴光)	LCSC	C5349954	2
